Gathered from fivem docs,,,this was column was generated by grok (and checked with equal.py),,,
265,INPUT_WHISTLE,NONE,NONE,MOUSE_BUTTON,,Mouse button input
266,INPUT_MOVE_LEFT,D,D,,MOUSE_LEFT,Mouse Button 0 (Left Click)
267,INPUT_MOVE_RIGHT,D,D,,MOUSE_RIGHT,Mouse Button 1 (Right Click)
268,INPUT_MOVE_UP,S,S,,MOUSE_MIDDLE,Mouse Button 2 (Middle Click)
269,INPUT_MOVE_DOWN,S,S,,MOUSE_EXTRABTN1,Mouse Button 3
270,INPUT_LOOK_LEFT,MOUSE RIGHT,MOUSE_RIGHT,,MOUSE_EXTRABTN2,Mouse Button 4
271,INPUT_LOOK_RIGHT,MOUSE RIGHT,MOUSE_RIGHT,,MOUSE_EXTRABTN3,Mouse Button 5
272,INPUT_LOOK_UP,MOUSE DOWN,MOUSE_MIDDLE,,MOUSE_EXTRABTN4,Mouse Button 6
273,INPUT_LOOK_DOWN,MOUSE DOWN,MOUSE_MIDDLE,,MOUSE_EXTRABTN5,Mouse Button 7
274,INPUT_SNIPER_ZOOM_IN,[,LBRACKET,,IOM_WHEEL_UP,Mouse Wheel Up
275,INPUT_SNIPER_ZOOM_OUT,[,LBRACKET,,IOM_WHEEL_DOWN,Mouse Wheel Down
276,INPUT_SNIPER_ZOOM_IN_ALTERNATE,[,LBRACKET,MOUSE_BUTTONANY,,Mouse button input (no known difference from MOUSE_BUTTON)
277,INPUT_SNIPER_ZOOM_OUT_ALTERNATE,[,LBRACKET,,MOUSE_LEFT,Mouse Button 0 (Left Click)
278,INPUT_VEH_MOVE_LEFT,D,D,,MOUSE_RIGHT,Mouse Button 1 (Right Click)
279,INPUT_VEH_MOVE_RIGHT,D,D,,MOUSE_MIDDLE,Mouse Button 2 (Middle Click)
280,INPUT_VEH_MOVE_UP,LEFT CTRL,LCONTROL,,MOUSE_EXTRABTN1,Mouse Button 3
281,INPUT_VEH_MOVE_DOWN,LEFT CTRL,LCONTROL,,MOUSE_EXTRABTN2,Mouse Button 4
282,INPUT_VEH_GUN_LEFT,MOUSE RIGHT,MOUSE_RIGHT,,MOUSE_EXTRABTN3,Mouse Button 5
283,INPUT_VEH_GUN_RIGHT,MOUSE RIGHT,MOUSE_RIGHT,,MOUSE_EXTRABTN4,Mouse Button 6
284,INPUT_VEH_GUN_UP,MOUSE RIGHT,MOUSE_RIGHT,,MOUSE_EXTRABTN5,Mouse Button 7
285,INPUT_VEH_GUN_DOWN,MOUSE RIGHT,MOUSE_RIGHT,,IOM_WHEEL_UP,Mouse Wheel Up
286,INPUT_VEH_LOOK_LEFT,MOUSE RIGHT,MOUSE_RIGHT,,IOM_WHEEL_DOWN,Mouse Wheel Down
287,INPUT_VEH_LOOK_RIGHT,MOUSE RIGHT,MOUSE_RIGHT,MOUSE_CENTEREDAXIS,,Mouse axis input (centered)
288,INPUT_REPLAY_START_STOP_RECORDING,F1,F1,,IOM_AXIS_X,Mouse X Axis
289,INPUT_REPLAY_START_STOP_RECORDING_SECONDARY,F2,F2,,IOM_AXIS_Y,Mouse Y Axis
290,INPUT_SCALED_LOOK_LR,MOUSE RIGHT,MOUSE_RIGHT,,IOM_AXIS_WHEEL,Mouse Wheel Axis
291,INPUT_SCALED_LOOK_UD,MOUSE DOWN,MOUSE_MIDDLE,,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
292,INPUT_SCALED_LOOK_UP_ONLY,NONE,NONE,,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
293,INPUT_SCALED_LOOK_DOWN_ONLY,NONE,NONE,,IOM_IAXIS_X,Mouse X Axis (Inverted)
294,INPUT_SCALED_LOOK_LEFT_ONLY,NONE,NONE,,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
295,INPUT_SCALED_LOOK_RIGHT_ONLY,NONE,NONE,,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
296,INPUT_REPLAY_MARKER_DELETE,DELETE,DELETE,,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
297,INPUT_REPLAY_CLIP_DELETE,DELETE,DELETE,,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
298,INPUT_REPLAY_PAUSE,SPACEBAR,SPACE,,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
299,INPUT_REPLAY_REWIND,ARROW DOWN,DOWN,,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
300,INPUT_REPLAY_FFWD,ARROW UP,UP,,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
301,INPUT_REPLAY_NEWMARKER,M,M,,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
302,INPUT_REPLAY_RECORD,S,S,,BASIC_MOUSE_AXIS_MAX,unknown
303,INPUT_REPLAY_SCREENSHOT,U,U,,MOUSE_AXIS_MAX,unknown
304,INPUT_REPLAY_HIDEHUD,H,H,MOUSE_RELATIVEAXIS,,Mouse axis input (relative)
305,INPUT_REPLAY_STARTPOINT,B,B,,IOM_AXIS_X,Mouse X Axis
306,INPUT_REPLAY_ENDPOINT,N,N,,IOM_AXIS_Y,Mouse Y Axis
307,INPUT_REPLAY_ADVANCE,ARROW RIGHT,RIGHT,,IOM_AXIS_WHEEL,Mouse Wheel Axis
308,INPUT_REPLAY_BACK,ARROW LEFT,LEFT,,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
309,INPUT_REPLAY_TOOLS,T,T,,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
310,INPUT_REPLAY_RESTART,R,R,,IOM_IAXIS_X,Mouse X Axis (Inverted)
311,INPUT_REPLAY_SHOWHOTKEY,K,K,,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
312,INPUT_REPLAY_CYCLEMARKERLEFT,[,LBRACKET,,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
313,INPUT_REPLAY_CYCLEMARKERRIGHT,],RBRACKET,,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
314,INPUT_REPLAY_FOVINCREASE,NUMPAD +,ADD,,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
315,INPUT_REPLAY_FOVDECREASE,NUMPAD -,SUBTRACT,,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
316,INPUT_REPLAY_CAMERAUP,PAGE UP,PAGEUP,,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
317,INPUT_REPLAY_CAMERADOWN,PAGE DOWN,PAGEDOWN,,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
318,INPUT_REPLAY_SAVE,F5,F5,,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
319,INPUT_REPLAY_TOGGLETIME,C,C,,BASIC_MOUSE_AXIS_MAX,unknown
320,INPUT_REPLAY_TOGGLETIPS,V,V,,MOUSE_AXIS_MAX,unknown
321,INPUT_REPLAY_PREVIEW,SPACEBAR,SPACE,MOUSE_SCALEDAXIS,,Mouse axis input (scaled)
322,INPUT_REPLAY_TOGGLE_TIMELINE,ESC,ESCAPE,,IOM_AXIS_X,Mouse X Axis
323,INPUT_REPLAY_TIMELINE_PICKUP_CLIP,X,X,,IOM_AXIS_Y,Mouse Y Axis
324,INPUT_REPLAY_TIMELINE_DUPLICATE_CLIP,C,C,,IOM_AXIS_WHEEL,Mouse Wheel Axis
325,INPUT_REPLAY_TIMELINE_PLACE_CLIP,V,V,,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
326,INPUT_REPLAY_CTRL,LEFT CTRL,LCONTROL,,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
327,INPUT_REPLAY_TIMELINE_SAVE,F5,F5,,IOM_IAXIS_X,Mouse X Axis (Inverted)
328,INPUT_REPLAY_PREVIEW_AUDIO,SPACEBAR,SPACE,,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
329,INPUT_VEH_DRIVE_LOOK,LEFT MOUSE BUTTON,MOUSE_LEFT,,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
330,INPUT_VEH_DRIVE_LOOK2,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
331,INPUT_VEH_FLY_ATTACK2,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
332,INPUT_RADIO_WHEEL_UD,MOUSE DOWN,MOUSE_MIDDLE,,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
333,INPUT_RADIO_WHEEL_LR,MOUSE RIGHT,MOUSE_RIGHT,,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
334,INPUT_VEH_SLOWMO_UD,SCROLLWHEEL DOWN,IOM_WHEEL_DOWN,,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
335,INPUT_VEH_SLOWMO_UP_ONLY,SCROLLWHEEL UP,IOM_WHEEL_UP,,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
336,INPUT_VEH_SLOWMO_DOWN_ONLY,SCROLLWHEEL DOWN,IOM_WHEEL_DOWN,,BASIC_MOUSE_AXIS_MAX,unknown
337,INPUT_VEH_HYDRAULICS_CONTROL_TOGGLE,X,X,,MOUSE_AXIS_MAX,unknown
338,INPUT_VEH_HYDRAULICS_CONTROL_LEFT,A,A,MOUSE_NORMALIZED,,Mouse axis input (normalized)
339,INPUT_VEH_HYDRAULICS_CONTROL_RIGHT,D,D,,IOM_AXIS_X,Mouse X Axis
340,INPUT_VEH_HYDRAULICS_CONTROL_UP,LEFT SHIFT,LSHIFT,,IOM_AXIS_Y,Mouse Y Axis
341,INPUT_VEH_HYDRAULICS_CONTROL_DOWN,LEFT CTRL,LCONTROL,,IOM_AXIS_WHEEL,Mouse Wheel Axis
342,INPUT_VEH_HYDRAULICS_CONTROL_UD,D,D,,IOM_AXIS_WHEEL_DELTA,Mouse Wheel Axis Delta
343,INPUT_VEH_HYDRAULICS_CONTROL_LR,LEFT CTRL,LCONTROL,,IOM_AXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative
344,INPUT_SWITCH_VISOR,F11,F11,,IOM_IAXIS_X,Mouse X Axis (Inverted)
345,INPUT_VEH_MELEE_HOLD,X,X,,IOM_IAXIS_Y,Mouse Y Axis (Inverted)
346,INPUT_VEH_MELEE_LEFT,LEFT MOUSE BUTTON,MOUSE_LEFT,,IOM_IAXIS_WHEEL,Mouse Wheel Axis (Inverted)
347,INPUT_VEH_MELEE_RIGHT,RIGHT MOUSE BUTTON,MOUSE_RIGHT,,IOM_IAXIS_WHEEL_DELTA,Mouse Wheel Axis Delta (Inverted)
348,INPUT_MAP_POI,SCROLLWHEEL BUTTON (PRESS),MOUSE_MIDDLE,,IOM_IAXIS_WHEEL_RELATIVE,Mouse Wheel Axis Relative (Inverted)
349,INPUT_REPLAY_SNAPMATIC_PHOTO,TAB,TAB,,IOM_AXIS_X_LEFT,Mouse X Axis (Left Only)
350,INPUT_VEH_CAR_JUMP,E,E,,IOM_AXIS_X_RIGHT,Mouse X Axis (Right Only)
351,INPUT_VEH_ROCKET_BOOST,E,E,,IOM_AXIS_Y_UP,Mouse Y Axis (Up Only)
352,INPUT_VEH_FLY_BOOST,LEFT SHIFT,LSHIFT,,IOM_AXIS_Y_DOWN,Mouse Y Axis (Down Only)
353,INPUT_VEH_PARACHUTE,SPACEBAR,SPACE,,BASIC_MOUSE_AXIS_MAX,unknown
354,INPUT_VEH_BIKE_WINGS,X,X,,MOUSE_AXIS_MAX,unknown
355,INPUT_VEH_FLY_BOMB_BAY,E,E,MOUSE_WHEEL,,Mouse wheel input
356,INPUT_VEH_FLY_COUNTER,E,E,,IOM_WHEEL_UP,Mouse Wheel Up
357,INPUT_VEH_TRANSFORM,X,X,,IOM_WHEEL_DOWN,Mouse Wheel Down
358,INPUT_QUAD_LOCO_REVERSE,NONE,NONE,PAD_ANALOGBUTTON,,Controller trigger input
359,INPUT_RESPAWN_FASTER,NONE,NONE,,L1_INDEX,Left Shoulder Button
360,INPUT_HUDMARKER_SELECT,NONE,NONE,,R1_INDEX,Right Shoulder Button
,,,,,L2_INDEX,"Left Trigger (considered ""pressed"" half way through the travel of the trigger)"
,,,,,R2_INDEX,"Right Trigger (considered ""pressed"" half way through the travel of the trigger)"
,,,,,L3_INDEX,Left Stick Press
,,,,,R3_INDEX,Right Stick Press
,,,,,LUP_INDEX,D-pad Up
,,,,,LRIGHT_INDEX,D-pad Right
,,,,,LDOWN_INDEX,D-pad Down
,,,,,LLEFT_INDEX,D-pad Left
,,,,,RUP_INDEX,Y / Triangle
,,,,,RRIGHT_INDEX,B / Circle
,,,,,RDOWN_INDEX,A / Cross
,,,,,RLEFT_INDEX,X / Square
,,,,,SELECT_INDEX,Change View / Share
,,,,,START_INDEX,Menu / Options
,,,,,TOUCH_INDEX,Touchpad (?)
,,,,PAD_AXIS,,Controller axis input
,,,,,IOM_AXIS_LX,unknown
,,,,,IOM_AXIS_LY,unknown
,,,,,IOM_AXIS_RX,unknown
,,,,,IOM_AXIS_RY,unknown
,,,,,IOM_AXIS_LUP,unknown
,,,,,IOM_AXIS_LDOWN,unknown
,,,,,IOM_AXIS_LLEFT,unknown
,,,,,IOM_AXIS_LRIGHT,unknown
,,,,,IOM_AXIS_LUR,unknown
,,,,,IOM_AXIS_LUL,unknown
,,,,,IOM_AXIS_LDR,unknown
,,,,,IOM_AXIS_LDL,unknown
,,,,,IOM_AXIS_RUP,unknown
,,,,,IOM_AXIS_RDOWN,unknown
,,,,,IOM_AXIS_RLEFT,unknown
,,,,,IOM_AXIS_RRIGHT,unknown
,,,,,IOM_AXIS_RUR,unknown
,,,,,IOM_AXIS_RUL,unknown
,,,,,IOM_AXIS_RDR,unknown
,,,,,IOM_AXIS_RDL,unknown
,,,,,IOM_AXIS_DPADX,unknown
,,,,,IOM_AXIS_DPADY,unknown
,,,,,IOM_AXIS_LY_UP,unknown
,,,,,IOM_AXIS_LY_DOWN,unknown
,,,,,IOM_AXIS_LX_LEFT,unknown
,,,,,IOM_AXIS_LX_RIGHT,unknown
,,,,,IOM_AXIS_RY_UP,unknown
,,,,,IOM_AXIS_RY_DOWN,unknown
,,,,,IOM_AXIS_RX_LEFT,unknown
,,,,,IOM_AXIS_RX_RIGHT,unknown
,,,,PAD_DEBUGBUTTON,,"Controller button input (debug interface, non functional)"
,,,,,L1,Left Shoulder Button
,,,,,R1,Right Shoulder Button
,,,,,L2,Left Trigger
,,,,,R2,Right Trigger
,,,,,L3,Left Stick Press
,,,,,R3,Right Stick Press
,,,,,LUP,D-pad Up
,,,,,LRIGHT,D-pad Right
,,,,,LDOWN,D-pad Down
,,,,,LLEFT,D-pad Left
,,,,,RUP,Y / Triangle
,,,,,RRIGHT,B / Circle
,,,,,RDOWN,A / Cross
,,,,,RLEFT,X / Square
,,,,,SELECT,Change View / Share
,,,,,START,Menu / Options
,,,,,TOUCH,Touchpad (?)
,,,,PAD_DIGITALBUTTON,,Controller button input
,,,,,L1_INDEX,Left Shoulder Button
,,,,,R1_INDEX,Right Shoulder Button
,,,,,L2_INDEX,"Left Trigger (considered ""pressed"" half way through the travel of the trigger)"
,,,,,R2_INDEX,"Right Trigger (considered ""pressed"" half way through the travel of the trigger)"
,,,,,L3_INDEX,Left Stick Press
,,,,,R3_INDEX,Right Stick Press
,,,,,LUP_INDEX,D-pad Up
,,,,,LRIGHT_INDEX,D-pad Right
,,,,,LDOWN_INDEX,D-pad Down
,,,,,LLEFT_INDEX,D-pad Left
,,,,,RUP_INDEX,Y / Triangle
,,,,,RRIGHT_INDEX,B / Circle
,,,,,RDOWN_INDEX,A / Cross
,,,,,RLEFT_INDEX,X / Square
,,,,,SELECT_INDEX,Change View / Share
,,,,,START_INDEX,Menu / Options
,,,,,TOUCH_INDEX,Touchpad (?)
,,,,PAD_DIGITALBUTTONANY,,Controller button input (no known difference from PAD_DIGITALBUTTON)
,,,,,L1_INDEX,Left Shoulder Button
,,,,,R1_INDEX,Right Shoulder Button
,,,,,L2_INDEX,"Left Trigger (considered ""pressed"" half way through the travel of the trigger)"
,,,,,R2_INDEX,"Right Trigger (considered ""pressed"" half way through the travel of the trigger)"
,,,,,L3_INDEX,Left Stick Press
,,,,,R3_INDEX,Right Stick Press
,,,,,LUP_INDEX,D-pad Up
,,,,,LRIGHT_INDEX,D-pad Right
,,,,,LDOWN_INDEX,D-pad Down
,,,,,LLEFT_INDEX,D-pad Left
,,,,,RUP_INDEX,Y / Triangle
,,,,,RRIGHT_INDEX,B / Circle
,,,,,RDOWN_INDEX,A / Cross
,,,,,RLEFT_INDEX,X / Square
,,,,,SELECT_INDEX,Change View / Share
,,,,,START_INDEX,Menu / Options
,,,,,TOUCH_INDEX,Touchpad (?)
,,,,TOUCHPAD_ABSOLUTE_AXIS,,PS4/5 controller touchpad axis input (absolute)
,,,,,UNKNOWN,Vaild parameters for this mapper are unknown.
,,,,,UNKNOWN,This is presumably an input source for the PS4/5 controller touchpad.
,,,,TOUCHPAD_CENTERED_AXIS,,PS4/5 controller touchpad axis input (centered)
,,,,,,Valid parameters for this mapper are unknown.
,,,,,,This is presumably an input source for the PS4/5 controller touchpad.
